# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.2309839638842348,4.012250371929317,4.892206538698791,-6.9904934517616235,3.692951891652703,3.0,-0.11116719922024458,-133.3586471203089,-23.604794526430457,152.94587618122532
 1.236269103856896,4.03165940982358,4.8897837696055735,-7.115248094859717,3.7088073115706868,3.0,-0.11244926074633355,-132.5503067564498,-23.978860079297974,154.6226231950452
 1.2415174079081266,4.051010104032223,4.887325106008201,-7.241096443357787,3.7245522237243787,3.000000000000042,-0.11373976024132156,-131.73880021672335,-24.35633597688861,156.28203201677204
 1.2467294246626601,4.070302652442253,4.884830383000835,-7.368042074548378,3.740188273987979,2.9999999999999147,-0.11503861838899498,-130.9242556474194,-24.737214162134023,157.92347985639688
 1.2519056908745922,4.089537252940675,4.882299435677637,-7.496088480393161,3.755717072623775,3.0,-0.11634575130645265,-130.10680167456798,-25.121485243339354,159.54634438980773
 1.2570467318309198,4.108714103414494,4.879732099132769,-7.625239064912946,3.771140195492758,3.000000000000043,-0.11766107039594548,-129.28656738362764,-25.509138458576096,161.15000391740156
 1.26215306173798,4.127833401750718,4.877128208460394,-7.755497141527312,3.786459185213938,2.9999999999999565,-0.11898448236117552,-128.46368229910135,-25.86635408294129,162.52142053751965
 1.2672318134021496,4.146895345836353,4.874487598754672,-7.8868659303720525,3.791770736198847,1.0458379019358883,-0.12031588896194893,-127.6382763640832,-26.121486161863057,163.21591854832732
 1.2723036008338362,4.165900133558403,4.871810105109764,-8.019348555584765,3.7765553739037876,-2.9999999999999125,-0.12165518719326364,-126.81047991973861,-26.30586024022822,163.43882605538943
 1.2773822975857014,4.184847962803877,4.869095562619834,-8.152948042541832,3.761319283648192,-3.0,-0.12300226891086312,-125.98042368472244,-26.489418332357012,163.62985678209037
 1.2824680745126735,4.203739031459779,4.866343806379041,-8.287667315105445,3.7460619528672754,-3.0000000000000435,-0.12435702081669044,-125.14823873453633,-26.672107099735165,163.78894925957056
 1.287561105864766,4.2225735374131155,4.863554671481548,-8.423509192790766,3.730782858810998,-3.0,-0.1257193245076796,-124.31405648083106,-26.85387220160422,163.91604983816956
 1.292661569370334,4.241351678550893,4.860727993021517,-8.560476387938236,3.715481468294294,-2.9999999999999565,-0.1270890563626888,-123.4780086506546,-27.034658293127837,164.01111278186727
