# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7284190282666283,4.437570303712036,0.06253689330440268,0,2.0,0.1863939851497878,0.0,0.0,0.0
 0.10922010023410725,1.7403480514561491,4.43758332394412,0.06253689330440268,0.2184402004682145,2.0,0.1863939851497878,0.0,2.827943835627732,0.0
 0.15400299747037527,1.7521358801349836,4.437622245386552,0.18918041148525702,0.30800599494075054,2.0,0.19162343772248255,0.0,3.778094317740015,0.0
 0.18805551116161043,1.7637836529685407,4.437686859158605,0.31783401996687666,0.37611102232322086,2.0,0.19701051246274645,0.0,4.5941445077610705,0.0
 0.216504234577877,1.775292508622229,4.437776956379549,0.4485315664025316,0.4330084691557541,2.0000000000000018,0.20255982867765482,0.0,5.345814298391987,0.0
 0.2413415546474929,1.7866635857614577,4.437892328168656,0.5813072671644225,0.48268310929498587,2.0,0.20827610567186983,0.0,6.062115186654057,0.0
 0.26359260428472403,1.7978980230516353,4.438032765645198,0.7161956930892746,0.5271852085694481,1.9999999999999976,0.21416416154129,0.0,6.758627168435894,0.0
 0.2838683284898154,1.8089969591581703,4.438198059928444,0.8532317535615184,0.5677366569796308,2.0,0.22022891087214985,0.0,7.4449589025102405,0.0
 0.3025680858816143,1.8199615327464718,4.4383880021376685,0.9924506788303734,0.6051361717632286,2.0,0.226475362123547,0.0,8.127602347439248,0.0
 0.3199701825323001,1.8307928824819484,4.438602383392141,1.1338880004188516,0.6399403650646002,2.0,0.23290861499990406,0.0,8.811246072530526,0.0
 0.33627792470378515,1.8414921470300087,4.438840994811133,1.2775795295791899,0.6725558494075703,2.0,0.23953385611917632,0.0,9.49945670671598,0.0
 0.35164530922656156,1.8520604650560621,4.439103627513916,1.4235613335487616,0.7032906184531231,2.0,0.24635635524354196,0.0,10.195064236002375,0.0
 0.3661923854037736,1.862498975225517,4.439390072619761,1.571869709621458,0.7323847708075472,2.0,0.25338145979613835,0.0,10.900394400583693,0.0
 0.38001495379826883,1.872808816203782,4.439700121247941,1.7225411567504991,0.7600299075965377,2.0,0.26061458942704396,0.0,11.617416143482192,0.0
 0.39319096350856125,1.8829911266562658,4.440033564517726,1.8756123446655286,0.7863819270171225,2.0,0.2680612288281568,0.0,12.34783901373123,0.0
 0.40578488665905976,1.8930470452483772,4.440390193548387,2.031120080279187,0.8115697733181196,2.000000000000009,0.27572692084225453,0.0,13.093179661241953,0.0
 0.41785080151482684,1.902977710645525,4.440769799459197,2.189101271262994,0.8357016030296538,2.0,0.283617257338497,0.0,13.854808459671236,0.0
 0.42943462209253885,1.9127842615131183,4.441172173369426,2.349592886598392,0.8588692441850778,2.0,0.2917378698564675,0.0,14.633982920814445,0.0
 0.44057574671272015,1.9224678365165655,4.441597106398345,2.5126319140087903,0.8811514934254404,2.0,0.300094419221926,0.0,15.431872050450938,0.0
 0.4513083007082362,1.9320295743212754,4.442044389665227,2.6782553140421497,0.9026166014164724,1.9999999999999896,0.30869258265178834,0.0,16.24957432769903,0.0
 0.461662089252699,1.9414706135926567,4.442513814289343,2.846499970568677,0.923324178505398,2.0,0.3175380417106143,0.0,17.088131110318244,0.0
 0.4716633390113722,1.9507920929961184,4.443005171389964,3.017402637711923,0.9433266780227444,2.0,0.3266364668088312,0.0,17.948536635002736,0.0
 0.4813352832285396,1.9599951511970692,4.44351825208636,3.1909998828254547,0.9626705664570792,2.0,0.3359935015554377,0.0,18.831745473531434,0.0
 0.49069862890664806,1.9690809268609177,4.4440528474978045,3.3673280254162843,0.9813972578132961,2.0,0.34561474467746894,0.0,19.738678019140547,0.0
 0.49977193392653835,1.9780505586530728,4.444608748743568,3.5464230717733503,0.9995438678530767,2.0,0.35550573087695214,0.0,20.670224440490852,0.0
 0.5085719144961928,1.9869051852389432,4.445185746942922,3.7283206452200655,1.0171438289923855,2.0,0.365671909782947,0.0,21.627247378115037,0.0
 0.5171136980706815,1.9956459452839375,4.445783633215139,3.913055911635854,1.034227396141363,2.0,0.3761186225945103,0.0,22.610583629445653,0.0
 0.525411033139861,2.004273977453465,4.446402198679488,4.10066350011907,1.050822066279722,2.0,0.38685107694143456,0.0,23.62104498498059,0.0
 0.5334764645651252,2.0127904204129337,4.4470412344552415,4.291177418638511,1.0669529291302504,2.0,0.39787432013710033,0.0,24.659418317833406,0.0
 0.5413214811518628,2.021196412827753,4.447700531661671,4.484630964361216,1.0826429623037257,2.0,0.4091932092865971,0.0,25.726465036569433,0.0
 0.5489566406607608,2.0294930933633313,4.448379881418049,4.681056628515509,1.0979132813215216,2.0,0.420812379735623,0.0,26.82291996320976,0.0
 0.5563916763451233,2.0376816006850773,4.449079074843644,4.880485995600774,1.1127833526902466,2.0,0.43273621100362086,0.0,27.949489683428407,0.0
 0.5636355882529697,2.0457630734584,4.44979790305773,5.08294963673679,1.1272711765059393,2.0,0.44496878975309384,0.0,29.106850397762283,0.0
 0.5706967218813549,2.053738650348708,4.450536157179578,5.288476996896806,1.1413934437627098,2.0,0.4575138706382775,0.0,30.295645320456334,0.0
 0.5775828362657578,2.06160947002141,4.451293628328459,5.497096275922769,1.1551656725315156,2.0,0.4703748339498437,0.0,31.516481633580863,0.0
 0.584301163193119,2.069376671141915,4.452070107623643,5.708834303137339,1.168602326386238,2.0,0.4835546410673745,0.0,32.76992700576107,0.0
